,City_Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lng
384,"nanakuli,us",79.27,64.0,90.0,13.87,21.39,-158.15
385,"ixtapa,mx",78.8,83.0,90.0,9.17,20.71,-105.21
386,"kankon,in",82.06,97.0,0.0,5.84,15.02,74.02
389,"manaure,co",84.2,70.0,0.0,4.7,11.78,-72.45
390,"yanam,in",68.15,84.0,0.0,5.61,16.73,82.22
391,"chateaubelair,vc",80.6,74.0,40.0,18.34,13.28,-61.25
392,"markala,ml",58.7,43.0,0.0,11.14,13.69,-6.07
393,"kavaratti,in",83.23,99.0,0.0,9.91,10.57,72.64
394,"micoud,lc",79.66,74.0,40.0,18.34,13.82,-60.9
395,"phra pradaeng,th",75.2,60.0,0.0,5.82,13.66,100.53
396,"zinder,ne",62.98,47.0,24.0,13.67,13.81,8.99
397,"port blair,in",82.01,100.0,0.0,14.34,11.67,92.75
398,"brufut,gm",69.8,35.0,20.0,10.29,13.38,-16.75
399,"doka,sd",60.91,54.0,0.0,1.25,13.52,35.76
400,"san,ml",59.11,48.0,0.0,10.13,13.3,-4.9
401,"dawei,mm",72.02,76.0,0.0,3.27,14.07,98.19
402,"aksum,et",31.25,61.0,0.0,2.75,14.12,38.72
403,"barra,gm",69.8,35.0,20.0,10.29,13.49,-16.54
404,"aden,ye",76.43,100.0,0.0,8.57,12.79,45.03
405,"gigmoto,ph",81.25,99.0,68.0,12.88,13.78,124.39
406,"la asuncion,ve",77.11,100.0,64.0,16.58,11.03,-63.86
407,"honavar,in",71.66,88.0,0.0,5.28,14.28,74.45
408,"bosaso,so",74.41,100.0,0.0,9.31,11.28,49.18
409,"cabra,ph",82.06,98.0,32.0,24.11,13.89,120.05
410,"kampong thum,kh",73.15,77.0,8.0,7.78,12.71,104.89
411,"abu zabad,sd",59.78,67.0,0.0,2.98,12.35,29.25
412,"key west,us",14.74,92.0,90.0,19.46,47.93,-96.78
413,"sanchor,in",53.66,62.0,0.0,2.75,24.76,71.77
414,"umm lajj,sa",63.65,100.0,0.0,5.73,25.02,37.27
416,"cockburn town,bs",76.16,100.0,56.0,7.4,24.03,-74.52
417,"islampur,in",60.68,93.0,56.0,5.61,26.26,88.19
418,"sabha,ly",38.09,87.0,0.0,6.06,27.03,14.43
419,"amarpur,in",59.0,100.0,90.0,2.75,23.52,91.65
420,"shingu,jp",51.8,66.0,75.0,4.7,33.72,135.99
422,"godda,in",48.8,85.0,8.0,2.75,24.83,87.21
423,"dali,cn",31.48,100.0,0.0,2.08,25.6,100.24
426,"haflong,in",47.99,87.0,0.0,1.48,25.18,93.03
427,"arona,es",58.33,59.0,20.0,8.05,28.1,-16.68
428,"matamoros,mx",68.0,52.0,75.0,2.3,25.53,-103.23
429,"saltillo,mx",57.2,58.0,75.0,2.26,25.42,-100.99
430,"myitkyina,mm",52.18,93.0,0.0,2.26,25.38,97.4
431,"los llanos de aridane,es",64.4,63.0,36.0,8.05,28.66,-17.92
432,"hirara,jp",70.72,94.0,75.0,2.24,24.8,125.28
433,"sheoganj,in",49.88,77.0,0.0,5.1,25.14,73.07
434,"hasaki,jp",35.92,80.0,75.0,2.24,35.73,140.83
435,"chabahar,ir",68.15,100.0,12.0,4.32,25.29,60.65
436,"longyan,cn",43.81,89.0,0.0,2.53,25.1,117.03
437,"key largo,us",71.6,88.0,1.0,4.7,25.09,-80.45
